#      Y(j)      U(NI/3,j)  U(NI/2,j)  U(NI/2+1,j) U(NI/2+2,j)  U(NI/3*2,j) V(NI/2,j)  V(NI/2+1,j) V(NI/2+2,j)	 #    Y(j)      U(NI/3,j)  U(NI/2,j)  U(NI/2+1,j) U(NI/2+2,j) U(NI/3*2,j) V(NI/2,j)  V(NI/2+1,j) V(NI/2+2,j)
  2.9167E-01  1.2364E+00  1.9659E-02  0.0000E+00  0.0000E+00  0.0000E+00  7.9455E-02  0.0000E+00  0.0000E+00	  0.29166666666666663        1.2372863307123492        2.5946497885833281E-002   0.0000000000000000        0.0000000000000000        0.0000000000000000       0.14953010112506693        0.0000000000000000        0.0000000000000000     
  3.0208E-01  1.2638E+00  2.1959E-02  0.0000E+00  0.0000E+00  0.0000E+00  1.0026E-01  0.0000E+00  0.0000E+00	  0.30208333333333331        1.2642264484155787        3.7490183846499464E-002   0.0000000000000000        0.0000000000000000        0.0000000000000000       0.18822697599311572        0.0000000000000000        0.0000000000000000     
  3.1250E-01  1.2907E+00  3.3717E-02  0.0000E+00  0.0000E+00  0.0000E+00  1.2810E-01  0.0000E+00  0.0000E+00	  0.31250000000000000        1.2899085983678868        5.7511231504298904E-002   0.0000000000000000        0.0000000000000000        0.0000000000000000       0.24054870513774532        0.0000000000000000        0.0000000000000000     
  3.2292E-01  1.3155E+00  4.0620E-02  0.0000E+00  0.0000E+00  0.0000E+00  1.6527E-01  0.0000E+00  0.0000E+00	  0.32291666666666663        1.3143176925497135        9.2959497766563870E-002   0.0000000000000000        0.0000000000000000        0.0000000000000000       0.31320761321090007        0.0000000000000000        0.0000000000000000     
  3.3333E-01  1.3401E+00  6.6855E-02  0.0000E+00  0.0000E+00  0.0000E+00  2.1901E-01  0.0000E+00  0.0000E+00	  0.33333333333333331        1.3374383586090310       0.15642107648106712        0.0000000000000000        0.0000000000000000        0.0000000000000000       0.41683294330312903        0.0000000000000000        0.0000000000000000     
  3.4375E-01  1.3620E+00  8.9242E-02  0.0000E+00  0.0000E+00  0.0000E+00  2.9706E-01  0.0000E+00  0.0000E+00	  0.34375000000000000        1.3592550882630756       0.27046037639073051        0.0000000000000000        0.0000000000000000        0.0000000000000000       0.56850626293667961        0.0000000000000000        0.0000000000000000     
  3.5417E-01  1.3841E+00  1.6599E-01  0.0000E+00  0.0000E+00  0.0000E+00  4.2467E-01  0.0000E+00  0.0000E+00	  0.35416666666666663        1.3797523860616174       0.47500796123450206        0.0000000000000000        0.0000000000000000        0.0000000000000000       0.79613024077555372        0.0000000000000000        0.0000000000000000     
  3.6458E-01  1.4033E+00  2.5371E-01  0.0000E+00  0.0000E+00  0.0000E+00  6.3453E-01  0.0000E+00  0.0000E+00	  0.36458333333333331        1.3989149173745261       0.83958097210637372        0.0000000000000000        0.0000000000000000        0.0000000000000000        1.1461902662913910        0.0000000000000000        0.0000000000000000     
  3.7500E-01  1.4228E+00  6.6286E-01  0.0000E+00  0.0000E+00  0.0000E+00  1.0928E+00  0.0000E+00  0.0000E+00	  0.37500000000000000        1.4167276544309853        1.3116717453706346        0.0000000000000000        0.0000000000000000        0.0000000000000000        1.1881855553435148        0.0000000000000000        0.0000000000000000     
  3.8542E-01  1.4391E+00  1.6169E+00  1.4085E+00  1.0036E+00  9.5986E-01  1.2989E+00  2.2954E-01 -2.7104E-02	  0.38541666666666663        1.4331760192097300        1.8613895299396912        1.7874226118225565        1.3431295175919624       0.95989583210697260        1.2671795625513496       0.76523522721055337       0.33344579516053863     
